891 - ЮГОСЛАВИЯ - 6
АВСТРИЯ - 175
АРМЕНИЯ - 55
БЕЛАРУСЬ - 304
БЕЛЬГИЯ - 97
БОЛГАРИЯ - 140
БОСНИЯ И ГЕРЦЕГОВИНА - 24
ВЕНГРИЯ - 462
ВЬЕТНАМ - 14
ГЕРМАНИЯ - 1281
ГРЕЦИЯ - 31
ДАНИЯ - 50
ЕГИПЕТ - 3
ИЗРАИЛЬ - 59
ИНДИЯ - 1253
ИРЛАНДИЯ - 63
ИСЛАНДИЯ - 3
ИСПАНИЯ - 177
ИТАЛИЯ - 381
КАЗАХСТАН - 9
КАНАДА - 9
КИТАЙ - 30
КОРЕЯ, РЕСПУБЛИКА - 5
КУБА - 1
ЛАТВИЯ - 53
ЛИТВА - 8
МАЛЬТА - 21
МЕКСИКА - 3
МОЛДОВА, РЕСПУБЛИКА - 10
НИДЕРЛАНДЫ - 158
НОРВЕГИЯ - 19
ПАКИСТАН - 17
ПОЛЬША - 277
ПОРТУГАЛИЯ - 26
РЕСПУБЛИКА МАКЕДОНИЯ - 28
РОССИЯ - 10542
РУМЫНИЯ - 149
СЕРБИЯ - 118
СИНГАПУР - 1
СЛОВАКИЯ - 102
СЛОВЕНИЯ - 430
СОЕДИНЕННОЕ КОРОЛЕВСТВО - 897
СОЕДИНЕННЫЕ ШТАТЫ - 138
ТАЙЛАНД - 4
ТУРЦИЯ - 30
УКРАИНА - 69
ФИНЛЯНДИЯ - 30
ФРАНЦИЯ - 519
ХОРВАТИЯ - 213
ЧЕРНОГОРИЯ - 29
ЧЕШСКАЯ РЕСПУБЛИКА - 145
ШВЕЙЦАРИЯ - 246
ШВЕЦИЯ - 86
ЭСТОНИЯ - 66
ЯПОНИЯ - 11
